treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "I_ALCH_Solution_Elixir_Meditation_Greater",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_Meditation_Superior",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_Meditation_Supreme",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_Barkskin",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_ArcaneAcuity",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_Bloodlust",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Of_Hill_Giant_Strength",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Of_Cloud_Giant_Strength",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_Darkvision",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Of_Invulnerability",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Of_Acid_Resistance",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Of_Fire_Resistance",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Of_Lightning_Resistance",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Of_Necrotic_Resistance",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Of_Poison_Resistance",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Of_Psychic_Resistance",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_Freedom",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Of_Heroism",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_Concentration",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_SeeInvisible",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_Enlarge",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_Criticals",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_Alertness",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_Tadpole",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Oil_RemoveResistanceFire",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BasicPoison",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_CrawlerMucus",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Oil_DamageAttackBuff",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_DrowPoison",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Malice",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Oil_AttackBuff",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Oil_Bane",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Oil_Combustion",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Oil_Reduce",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Oil_Frost",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_PurpleWormPoison",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_SerpentVenom",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_Solution_Toxin_Basic",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_UNI_Poison_Brewer",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Oil_Wizardsbane",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_WyvernPoison",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_Dragonborn_Acid",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_Dragonborn_Fire",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_Dragonborn_Ice",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_Dragonborn_Lightning",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_Dragonborn_Poison",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_Dwarf",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_Elf",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_Githyanki",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_Gnome",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_HalfElf",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_HalfOrc",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_Halfing",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_Human",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_Tiefling",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Bottle_Breath",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_UND_InjuredGnome_DuergarAntidote",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Elixir_Of_Health",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_DEN_Apprentice_Antidote",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_BloodPotion_Astarion",1,0,0,0,0,0,0,0
new treasuretable "XEL_ScrollContainer"
IgnoreLevelDiff 1
MinLevel "-20"
MaxLevel "20"
new subtable "20,1"
StartLevel "1"
object category "I_UNI_LOW_CurriculumOfStrategyScroll",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_UNI_LOW_BestialCommunionScroll",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_UNI_LOW_DethroneScroll",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_AcidArrow",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Aid",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_AnimalFriendship",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_AnimateDead",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_ArcaneLock",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Banishment",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_BestowCurse",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_BlackTentacles",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Blight",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Blindness",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Blink",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Blur",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_BurningHands",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_ChainLightning",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_CharmPerson",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_ChillTouch",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_ChromaticOrb",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_CircleOfDeath",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Cloudkill",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_CloudOfDaggers",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_ColorSpray",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_ConeOfCold",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Confusion",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_ConjureElemental",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_ConjureMinorElemental",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_CrownOfMadness",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Darkness",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Darkvision",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_DetectThoughts",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_DimensionDoor",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_DisguiseSelf",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Disintegrate",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_DominatePerson",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Enlarge",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_ExpeditiousRetreat",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Eyebite",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_FalseLife",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Fear",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_FeatherFall",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_FeignDeath",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Fireball",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_FireBolt",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_FireShield_Warm",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_FlameBlade",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_FlamingSphere",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_FleshToStone",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Fly",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_FogCloud",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_FreezingSphere",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_GaseousForm",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_GlobeOfInvulnerability",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_GlyphOfWarding",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Goodberry",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Grease",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_GustOfWind",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Haste",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_HideousLaughter",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_HoldMonster",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_HoldPerson",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_HypnoticPattern",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_IceKnife",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_IceStorm",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Invisibility",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Invisibility_Greater",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_IrresistibleDance",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Knock",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_LightningBolt",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_MageArmor",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_MagicMissile",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_MagicWeapon",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_MirrorImage",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_MistyStep",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_PhantasmalKiller",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_PlanarBinding",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Polymorph",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_ProtectionFromEnergy",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_ProtectionFromEvilAndGood",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_RayOfEnfeeblement",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_RayOfFrost",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_RayOfSickness",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_RemoveCurse",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Revivify",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_ScorchingRay",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_SeeInvisibility",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Seeming",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Shatter",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_ShockingGrasp",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Sleep",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_SleetStorm",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Slow",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_SpeakWithDead",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_StinkingCloud",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Stoneskin",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_SummonQuasit",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Sunbeam",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Telekinesis",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Thunderwave",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Revivify_TrueResurrection",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_VampiricTouch",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_WallOfFire",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_WallOfIce",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_WallOfStone",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_Web",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Scroll_WitchBolt",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_XEL_UNI_TWN_Scroll_FleshToGold",1,0,0,0,0,0,0,0
new treasuretable "XEL_DyeContainer"
MinLevel "-20"
MaxLevel "20"
IgnoreLevelDiff 1
new subtable "1,1"
StartLevel "1"
object category "I_XEL_OBJ_Dye_Azure",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_BlackBlue",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_BlackGreen",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_BlackPink",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_BlackRed",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_BlackTeal",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Blue",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_BlueGreen",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_BluePurple",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_BlueYellow",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_BlueYellow_02",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Golden",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Green",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Green_02",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_GreenSage",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_GreenSwamp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_GreenPink",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_IceCream",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_IceCream_02",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_IceCream_03",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_IceCream_04",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Maroon",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Ocean",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Orange",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_OrangeBlue",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Pink",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Purple",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Purple_02",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Purple_03",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Purple_04",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_PurpleRed",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Red",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_RedBrown",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_RedWhite",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_RichRed",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_RoyalBlue",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Teal",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_WhiteBlack",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_WhiteBrown",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_WhiteRed",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_OBJ_Dye_Remover",1,0,0,0,0,0,0,0
new treasuretable "XEL_ArrowContainer"
IgnoreLevelDiff 1
MinLevel "-20"
MaxLevel "20"
new subtable "100,1"
StartLevel "1"
object category "I_OBJ_ArrowOfAcid",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfFire",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfIce",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfLightning",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfDarkness",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfAntimagic",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfDetonation",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfRicochet",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfWraithsEmbrace",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfDispelling",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfTeleportation",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfSmokepowder",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfPiercing",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_BarbedArrow",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfBeastSlaying",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfConstructSlaying",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfElementalSlaying",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfFiendSlaying",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfMonstrositySlaying",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfUndeadSlaying",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfAberrationSlaying",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfDragonSlaying",1,0,0,0,0,0,0,0
new subtable "100,1"
object category "I_OBJ_ArrowOfHumanoidSlaying",1,0,0,0,0,0,0,0
new treasuretable "XEL_ArmorContainer"
MinLevel "-20"
MaxLevel "20"
IgnoreLevelDiff 1
new subtable "1,1"
StartLevel "1"
object category "I_XEL_MAG_Infernal_Plate_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MOO_Ketheric_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_MeleeDebuff_AttackDebuff2_OnDamage_SplintMail",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_OB_Paladin_DeathKnight_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UNI_Ravengard_Plate",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_EndGame_Plate_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Paladin_RestoreChannelDivinity_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Lesser_Infernal_Plate_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Illithid_Carapace_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_ChainMail_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Splint_Body_Dwarven",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Plate_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_RingMail_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_ZOC_ForceConduit_ChainMail",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Splint_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_ChainMail_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Plate_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_RingMail_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_ARM_Splint_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_Druid_Late_Hide_Armor_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_FlamingFist_Flame_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_MAG_EndGame_HalfPlate",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_XEL_UNI_DarkJusticiarArmor_HalfPlate",1,0,0,0,0,0,0,0
new subtable "1,1"
